,Classes,Model,Backbone,Trained Dataset,Test Dataset,Trained Epochs,Batch Size,optimizer,loss,Images Count,mIoU,Precision,Recall,F1-score (Dice-score),F2-score
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.6312311201215394,0.7322543948929051,0.8009905380404176,0.7389288132810521,0.7632106492417757
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9117483933398318,0.9550985719957003,0.9493694086041973,0.951108693712097,0.9498335389694066
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5136725002123399,0.6921201928593657,0.6938831910298219,0.6271912773995572,0.6392174516824559
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.6571021367555994,0.7546419338552214,0.8313867373602354,0.7722915429926086,0.7993281284182342
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9123277236582992,0.9559822751919758,0.9485327357157736,0.9510890515497381,0.9493360858945605
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5136819107019984,0.6911770177679394,0.6745560872019651,0.6251768997406325,0.6374266846891637
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.6592085556980737,0.7628180132741219,0.8176602860894534,0.7700945816287076,0.7898725615533442
IDD_Unet_efficientnetB0_alpha1_172epoch_IDD,3,Unet,efficientnetB0,IDD,IDD,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9280138605121102,0.963060086116431,0.9602594362149058,0.9606973066987959,0.960225763104185
IDD_Unet_efficientnetB0_alpha1_172epoch_BDD,3,Unet,efficientnetB0,IDD,BDD,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6372932141853086,0.7649834096577315,0.8092697585603736,0.7476091025866504,0.7672967744476601
IDD_Unet_efficientnetB0_alpha1_172epoch_CS,3,Unet,efficientnetB0,IDD,CS,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.7017240397829496,0.7748094372694441,0.8436445091376736,0.7954188062639725,0.8185830941489467
IDD_Unet_efficientnetB1_alpha1_169epoch_IDD,3,Unet,efficientnetB1,IDD,IDD,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9286877076995945,0.9615399171171105,0.9627269738480775,0.960809496313029,0.9616203668372896
IDD_Unet_efficientnetB1_alpha1_169epoch_BDD,3,Unet,efficientnetB1,IDD,BDD,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6434701239123368,0.7645743827419372,0.8009305539798516,0.7513202965751954,0.7683723557768031
IDD_Unet_efficientnetB1_alpha1_169epoch_CS,3,Unet,efficientnetB1,IDD,CS,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.7356829332029774,0.8130263544673935,0.8777574811310274,0.8338589359850991,0.856291155706475
IDD_Unet_efficientnetB6_alpha1_102epoch_IDD,3,Unet,efficientnetB6,IDD,IDD,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9336887166161046,0.9656406795070498,0.9637018645955485,0.9637303782375625,0.9635312971014512
IDD_Unet_efficientnetB6_alpha1_102epoch_BDD,3,Unet,efficientnetB6,IDD,BDD,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6483920489954111,0.7735197058537845,0.8026527738300836,0.7503649564210197,0.7664771282987213
IDD_Unet_efficientnetB6_alpha1_102epoch_CS,3,Unet,efficientnetB6,IDD,CS,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.7230751996262892,0.802431319432268,0.8677297754318836,0.8221939854545836,0.8448480096029544
