epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
14,0.9594618082046509,0.9237968921661377,0.14500226080417633,0.001,0.9593876600265503,0.9598082900047302,0.8861401081085205,0.801324188709259,0.4378804564476013,0.9253309965133667,0.8593959808349609
16,0.9595312476158142,0.9239517450332642,0.14454029500484467,0.001,0.9595597982406616,0.9597753882408142,0.8960952758789062,0.8251517415046692,0.36197423934936523,0.8789048790931702,0.9304109811782837
17,0.961354672908783,0.9271054863929749,0.13857164978981018,0.001,0.9614494442939758,0.9614700675010681,0.9314854145050049,0.8767661452293396,0.24615032970905304,0.93210768699646,0.9325169920921326
16,0.9596316814422607,0.9241120219230652,0.14416126906871796,0.001,0.959754467010498,0.9597770571708679,0.9353960156440735,0.8831080198287964,0.23466609418392181,0.9375781416893005,0.9351263642311096
17,0.9602565765380859,0.9252114295959473,0.1422368586063385,0.001,0.9603015184402466,0.9604469537734985,0.8783005475997925,0.7974780797958374,0.4118363857269287,0.8611447811126709,0.9156326055526733
18,0.9608808755874634,0.9263293743133545,0.13990773260593414,0.001,0.9610000252723694,0.9610221982002258,0.9312806129455566,0.8741469979286194,0.2541845440864563,0.9418752789497375,0.9223898649215698
19,0.9619675278663635,0.9282026290893555,0.13643455505371094,0.001,0.962029218673706,0.9620909690856934,0.9350549578666687,0.882429301738739,0.23563282191753387,0.9486940503120422,0.923719584941864
20,0.962195873260498,0.9286403656005859,0.13549399375915527,0.001,0.9623115062713623,0.9623097777366638,0.9302612543106079,0.8748146295547485,0.25369992852211,0.9402255415916443,0.9227772951126099
21,0.9617894291877747,0.9279645085334778,0.13669297099113464,0.001,0.9618214964866638,0.9620266556739807,0.9439919590950012,0.8973981142044067,0.2015780359506607,0.9469504356384277,0.9417890310287476
22,0.9635331034660339,0.9309787750244141,0.13108208775520325,0.001,0.963549017906189,0.9636762738227844,0.944272518157959,0.897454559803009,0.2045297920703888,0.944750964641571,0.9444704651832581
23,0.9639443755149841,0.9318007826805115,0.12934422492980957,0.001,0.9640356302261353,0.9640381932258606,0.9279698729515076,0.8719742298126221,0.2622874081134796,0.9492207765579224,0.9122135043144226
24,0.9646193385124207,0.932977557182312,0.12705965340137482,0.001,0.9647347927093506,0.9646502733230591,0.9348505139350891,0.8821783661842346,0.23894143104553223,0.9458146691322327,0.9257354736328125
25,0.9651862978935242,0.9339969158172607,0.1249222606420517,0.001,0.9653111100196838,0.9652172327041626,0.9414820075035095,0.8921942710876465,0.21917708218097687,0.9430171251296997,0.9409235715866089
26,0.9643295407295227,0.9324616193771362,0.12811213731765747,0.001,0.9644924402236938,0.964368999004364,0.9275221228599548,0.8677799701690674,0.2731817662715912,0.9356951117515564,0.9211431741714478
27,0.9673011302947998,0.9378432631492615,0.11725132167339325,0.000100000005,0.9673835635185242,0.9673112630844116,0.9522679448127747,0.9114517569541931,0.17360933125019073,0.9536433219909668,0.9514498114585876
28,0.9685145616531372,0.940015435218811,0.11319714784622192,0.000100000005,0.9686481356620789,0.9684637784957886,0.954328715801239,0.9149791598320007,0.16655410826206207,0.9552527070045471,0.9538506865501404
29,0.969085156917572,0.9410617351531982,0.11119959503412247,0.000100000005,0.9691977500915527,0.9690461754798889,0.9548790454864502,0.9158312082290649,0.16550712287425995,0.9565503597259521,0.9536285400390625
30,0.9694249629974365,0.9416744709014893,0.11005205661058426,0.000100000005,0.9695218801498413,0.9694057106971741,0.9551987051963806,0.9164072871208191,0.16436554491519928,0.9562951326370239,0.9545015692710876
